Mom_ID,Year,Pop,n_Seeds,h_Pollen_Pool,Bootstrap_SE,Outcrossing,Outcrossing_SE,Biparental_Inbreeding,Biparental_Inbreeding_SE,Area_ha,Percent_Forest,Elevation,Proportion_High_Mobility,SE_High_Mobility
10A_2016,2016,10,9,0.487563379,0.041714211,0.901,0.434,0.197,0.094,3.16,7.8,1228.75,0.285714286,0.076360355
10B_2016,2016,10,11,0.448524501,0.04034857,1,0.585,0.416,0.202,3.16,7.8,1228.75,0.285714286,0.076360355
10C_2016,2016,10,17,0.462718875,0.025675034,0.945,0.46,0.041,0.021,3.16,7.8,1228.75,0.285714286,0.076360355
10D_2016,2016,10,14,0.438011115,0.030350965,1,0.577,0.428,0.205,3.16,7.8,1228.75,0.285714286,0.076360355
10E_2016,2016,10,13,0.385948204,0.033430876,0.933,0.453,0.21,0.102,3.16,7.8,1228.75,0.285714286,0.076360355
12A_2013,2013,12,9,0.570275955,0.044926931,1,0.587,0.27,0.23,74.88,34.27,1059.65,,
12A_2016,2016,12,12,0.497342902,0.032384562,0.657,0.318,0.058,0.028,74.88,34.27,1059.65,,
12C_2013,2013,12,5,0.461212121,0.079388917,1,0.578,0.009,0.11,74.88,34.27,1059.65,,
12C_2016,2016,12,12,0.410901973,0.023102961,0.939,0.449,0.453,0.216,74.88,34.27,1059.65,,
12D_2016,2016,12,14,0.521813169,0.034966302,0.935,0.449,-0.006,0.009,74.88,34.27,1059.65,,
12E_2013,2013,12,10,0.510625644,0.031378961,1,0.487,0.333,0.194,74.88,34.27,1059.65,,
12E_2016,2016,12,12,0.43800173,0.02754419,1,0.583,0.24,0.196,74.88,34.27,1059.65,,
15A_2013,2013,15,11,0.32012663,0.042491455,0.585,0.281,0.305,0.147,1.41,66.43,1442.95,,
15B_2013,2013,15,10,0.265349361,0.033704957,0.727,0.357,0.459,0.225,1.41,66.43,1442.95,,
16A_2013,2013,16,10,0.509573576,0.032027339,0.818,0.393,0.229,0.109,1358.94,74.47,1491.59,0.633333333,0.08798148
