Patch,Area_ha,Percent_Forest,Elevation,VISA,GREH,LBIH,CHRH,GCBR,RTAH,SBRH,SNOB,STHR
10,3.16,7.80,1228.75,2,6,0,0,0,16,0,2,5
11,2.76,8.71,1135.63,0,9,0,0,0,3,0,0,2
16,1358.94,74.47,1491.59,14,3,0,0,7,2,0,0,0
19,110.27,70.30,1218.56,1,8,0,0,0,6,0,0,3
32,882.94,48.21,1446.21,11,14,0,0,3,6,0,0,0
33,364.62,65.89,1186.18,0,16,0,0,0,4,0,0,3
35,246.47,52.48,1373.92,2,7,0,0,1,0,0,0,2
40,95.28,42.09,910.80,0,14,0,1,0,3,1,0,1
49,4.86,18.46,985.64,0,9,0,0,0,9,1,0,5
50,3.18,19.14,1141.41,0,5,0,1,0,5,0,0,4
56,15.97,45.58,1135.15,4,9,0,0,7,3,0,1,1
58,8.80,21.67,1371.38,3,11,0,0,1,5,0,0,3
60,1.69,24.00,1110.79,5,1,0,0,0,6,0,0,2
63,1035.52,62.87,945.18,3,4,13,2,1,3,1,0,13
